"ikey";"Location";"Source";"Dating";"Language";"ID";"uncertain_dating";"DAT_min";"DAT_max"
"PH279229";"Chalcedon";"IK Kalchedon 3";"Hellenistic period";"Greek";"I_142";FALSE;-336;-74
"PH279262";"Chalcedon";"IK Kalchedon 36";"Hellenistic period";"Greek";"I_143";FALSE;-336;-74
"PH279263";"Chalcedon";"IK Kalchedon 37";"Hellenistic period";"Greek";"I_144";FALSE;-336;-74
"PH279264";"Chalcedon";"IK Kalchedon 38";"Hellenistic period";"Greek";"I_145";FALSE;-336;-74
"PH279265";"Chalcedon";"IK Kalchedon 39";"Hellenistic period";"Greek";"I_146";FALSE;-336;-74
"PH279266";"Chalcedon";"IK Kalchedon 40";"Hellenistic period";"Greek";"I_147";FALSE;-336;-74
"PH279267";"Chalcedon";"IK Kalchedon 41";"Hellenistic period";"Greek";"I_148";FALSE;-336;-74
"PH279232";"Chalcedon";"IK Kalchedon 6";"Hellenistic period";"Greek";"I_149";FALSE;-336;-74
"PH279233";"Chalcedon";"IK Kalchedon 7";"Hellenistic period";"Greek";"I_150";FALSE;-336;-74
"PH279823";"Chalcedon";"SEG 35: 1299";"Hellenistic period";"Greek";"I_151";FALSE;-336;-74
"PH279283";"Chalcedon";"IK Kalchedon 57";"Early Roman period";"Greek";"I_152";FALSE;-74;-31
"PH279284";"Chalcedon";"IK Kalchedon 58";"Early Roman period";"Greek";"I_153";FALSE;-74;-31
"PH279831";"Chalcedon";"SEG 36: 1145";"Chr.–Byz.";"Greek";"I_154";FALSE;100;799
"PH279832";"Chalcedon";"SEG 36: 1146";"Chr.–Byz.";"Greek";"I_155";FALSE;100;799
"PH279295";"Chalcedon";"IK Kalchedon 69";"after 212 AD";"Greek";"I_156";FALSE;212;250
"PH279833";"Chalcedon";"SEG 36: 1147";"AD";"Greek";"I_157";FALSE;0;799
"PH279938";"Chalcedon";"SEG 43: 895";"AD";"Greek";"I_158";FALSE;0;799
"PH279241";"Chalcedon";"IK Kalchedon 15";"82 BC";"Greek";"I_159";FALSE;-82;-82
"PH279244";"Chalcedon";"IK Kalchedon 18";"81–96 AD";"Greek";"I_160";FALSE;81;96
"PH279256";"Chalcedon";"IK Kalchedon 30";"6th c. BC";"Greek";"I_161";FALSE;-599;-500
"PH279891";"Chalcedon";"SEG 37: 1062";"6th c. AD";"Greek";"I_162";TRUE;500;599
"PH279895";"Chalcedon";"SEG 37: 1067";"6th c. AD";"Greek";"I_163";FALSE;500;599
"PH279873";"Chalcedon";"SEG 37: 1045";"5th – 6th c. AD";"Greek";"I_164";TRUE;400;599
"PH279874";"Chalcedon";"SEG 37: 1046";"5th – 6th c. AD";"Greek";"I_165";TRUE;400;599
"PH279875";"Chalcedon";"SEG 37: 1047";"5th – 6th c. AD";"Greek";"I_166";TRUE;400;599
"PH279307";"Chalcedon";"IK Kalchedon 81";"5th – 6th c. AD";"Greek";"I_167";FALSE;400;599
"PH279856";"Chalcedon";"SEG 37: 1032";"5th – 6th c. AD";"Greek";"I_168";FALSE;400;599
"PH279876";"Chalcedon";"SEG 37: 1048";"5th – 6th c. AD";"Greek";"I_169";FALSE;400;599
"PH279897";"Chalcedon";"SEG 37: 1069";"5th – 6th c. AD";"Greek";"I_170";FALSE;400;599
"PH279893";"Chalcedon";"SEG 37: 1065";"582–602 AD";"Greek";"I_171";FALSE;582;602
"PH279358";"Chalcedon";"IK Kalchedon 121";"564 AD";"Greek";"I_172";FALSE;564;564
"PH279247";"Chalcedon";"IK Kalchedon 21,a";"527–565 AD";"Greek";"I_173";FALSE;527;565
"PH279248";"Chalcedon";"IK Kalchedon 21,b";"527–565 AD";"Greek";"I_174";FALSE;527;565
"PH279249";"Chalcedon";"IK Kalchedon 21,c";"527–565 AD";"Greek";"I_175";FALSE;527;565
"PH279242";"Chalcedon";"IK Kalchedon 16";"4th c. BC";"Greek";"I_176";FALSE;-399;-300
"PH279251";"Chalcedon";"IK Kalchedon 22[1]";"452 AD";"Greek";"I_177";FALSE;452;452
"PH279818";"Chalcedon";"SEG 34: 1262";"452 AD";"Greek";"I_178";FALSE;452;452
"PH279250";"Chalcedon";"IK Kalchedon 22";"450 AD";"Greek";"I_179";FALSE;450;450
"PH279778";"Chalcedon";"SEG 27: 816";"3rd quarter of the 6th c. BC";"Greek";"I_180";FALSE;-550;-525
"PH279785";"Chalcedon";"SEG 28: 1661";"3rd c. BC";"Greek";"I_181";TRUE;-299;-200
"PH279239";"Chalcedon";"IK Kalchedon 13";"3rd c. BC";"Greek";"I_182";FALSE;-299;-200
"PH279257";"Chalcedon";"IK Kalchedon 31";"3rd c. BC";"Greek";"I_183";FALSE;-299;-200
"PH279273";"Chalcedon";"IK Kalchedon 47";"3rd c. BC";"Greek";"I_184";FALSE;-299;-200
"PH279236";"Chalcedon";"IK Kalchedon 10";"3rd – 2nd c. BC";"Greek";"I_185";FALSE;-299;-100
"PH279786";"Chalcedon";"SEG 28: 1662";"3rd – 2nd c. BC";"Greek";"I_186";FALSE;-299;-100
"PH279261";"Chalcedon";"IK Kalchedon 35";"340/339 BC";"Greek";"I_187";FALSE;-340;-339
"PH279228";"Chalcedon";"IK Kalchedon 2";"2nd c. BC";"Greek";"I_188";FALSE;-199;-100
"PH279863";"Chalcedon";"SEG 37: 1036";"2nd – 3rd c. AD";"Greek";"I_189";FALSE;100;299
"PH279913";"Chalcedon";"SEG 38: 1274";"2nd – 3rd c. AD";"Greek";"I_190";FALSE;100;299
"PH279246";"Chalcedon";"IK Kalchedon 20";"293–305 AD";"Latin";"I_191";FALSE;293;305
"PH279245";"Chalcedon";"IK Kalchedon 19";"27 BC–14 AD";"Greek";"I_192";FALSE;-27;14
"PH279329";"Chalcedon";"IK Kalchedon 103";"206 AD";"Greek";"I_193";FALSE;206;206
NA;"Chalcedon";"SEG 60: 1335";"1st century AD";"Greek";"I_194";FALSE;0;99
"PH279238";"Chalcedon";"IK Kalchedon 12";"1st c. BC – 1st c. AD";"Greek";"I_195";FALSE;-99;99
"PH279884";"Chalcedon";"SEG 37: 1055";"1st c. BC";"Greek";"I_196";FALSE;-99;0
"PH279828";"Chalcedon";"SEG 36: 1142";"1st c. AD";"Greek";"I_197";TRUE;0;99
"PH279829";"Chalcedon";"SEG 36: 1143";"1st c. AD";"Greek";"I_198";TRUE;0;99
"HD006526";"Chalcedon";"AE 1986, 0642;                            EpigrAnat 5, 119–120, 48";"151–212 AD";"Latin";"I_199";FALSE;151;212
"PH279240";"Chalcedon";"IK Kalchedon 14";"1 BC";"Greek";"I_200";FALSE;-1;-1
