ikey	Location	Source	Chronological Frame	Language
PH265552	Kaisarea Hadrianopolis	IstForsch 39, 31	220 AD	Greek
PH265611	Kaisarea Hadrianopolis	IstForsch 39, 86	218 AD	Greek
PH265527	Kaisarea Hadrianopolis	IstForsch 39, 6	212–217 AD	Greek
PH265551	Kaisarea Hadrianopolis	IstForsch 39, 30	205 AD	Greek
PH265564	Kaisarea Hadrianopolis	IstForsch 39, 42	1st – 2nd c. AD	Greek
PH265526	Kaisarea Hadrianopolis	IstForsch 39, 5	199–210 AD	Greek
PH265533	Kaisarea Hadrianopolis	IstForsch 39, 12	196 AD	Greek
PH265536	Kaisarea Hadrianopolis	IstForsch 39, 15	187/188 AD	Greek
PH265525	Kaisarea Hadrianopolis	IstForsch 39, 4	181/182 AD	Greek
PH265542	Kaisarea Hadrianopolis	IstForsch 39, 21	175 AD	Greek
PH265541	Kaisarea Hadrianopolis	IstForsch 39, 20	165 AD	Greek
PH265602	Kaisarea Hadrianopolis	IstForsch 39, 78	152 AD	Greek
PH265523	Kaisarea Hadrianopolis	IstForsch 39, 3	138–161 AD	Greek
PH265524	Kaisarea Hadrianopolis	IstForsch 39, 3bis	138–161 AD	Greek
PH265522	Kaisarea Hadrianopolis	IstForsch 39, 2	138 AD	Greek
PH265521	Kaisarea Hadrianopolis	IstForsch 39, 1bis	119 AD	Greek
PH265530	Kaisarea Hadrianopolis	IstForsch 39, 9	100 AD	Greek
PH265186	Kaisarea Hadrianopolis	BCH 13, 315, 24	---	Greek
PH265194	Kaisarea Hadrianopolis	BCH 25, 30, 172	---	Greek
PH265201	Kaisarea Hadrianopolis	BCH 25, 46, 190	---	Greek
PH265534	Kaisarea Hadrianopolis	IstForsch 39, 13	---	Greek
PH265535	Kaisarea Hadrianopolis	IstForsch 39, 14	---	Greek
PH265537	Kaisarea Hadrianopolis	IstForsch 39, 16	---	Greek
PH265538	Kaisarea Hadrianopolis	IstForsch 39, 17	---	Greek
PH265539	Kaisarea Hadrianopolis	IstForsch 39, 18	---	Greek
PH265540	Kaisarea Hadrianopolis	IstForsch 39, 19	---	Greek
PH265543	Kaisarea Hadrianopolis	IstForsch 39, 22	---	Greek
PH265544	Kaisarea Hadrianopolis	IstForsch 39, 23	---	Greek
PH265545	Kaisarea Hadrianopolis	IstForsch 39, 24	---	Greek
PH265546	Kaisarea Hadrianopolis	IstForsch 39, 25	---	Greek
PH265548	Kaisarea Hadrianopolis	IstForsch 39, 27	---	Greek
PH265549	Kaisarea Hadrianopolis	IstForsch 39, 28	---	Greek
PH265550	Kaisarea Hadrianopolis	IstForsch 39, 29	---	Greek
PH265555	Kaisarea Hadrianopolis	IstForsch 39, 34	---	Greek
PH265557	Kaisarea Hadrianopolis	IstForsch 39, 35	---	Greek
PH265558	Kaisarea Hadrianopolis	IstForsch 39, 36	---	Greek
PH265559	Kaisarea Hadrianopolis	IstForsch 39, 37	---	Greek
PH265561	Kaisarea Hadrianopolis	IstForsch 39, 39	---	Greek
PH265563	Kaisarea Hadrianopolis	IstForsch 39, 41	---	Greek
PH265565	Kaisarea Hadrianopolis	IstForsch 39, 43	---	Greek
PH265567	Kaisarea Hadrianopolis	IstForsch 39, 45	---	Greek
PH265571	Kaisarea Hadrianopolis	IstForsch 39, 49	---	Greek
PH265572	Kaisarea Hadrianopolis	IstForsch 39, 49[2]	---	Greek
PH265573	Kaisarea Hadrianopolis	IstForsch 39, 50	---	Greek
PH265574	Kaisarea Hadrianopolis	IstForsch 39, 51	---	Greek
PH265575	Kaisarea Hadrianopolis	IstForsch 39, 52	---	Greek
PH265576	Kaisarea Hadrianopolis	IstForsch 39, 53	---	Greek
PH265577	Kaisarea Hadrianopolis	IstForsch 39, 54	---	Greek
PH265578	Kaisarea Hadrianopolis	IstForsch 39, 55	---	Greek
PH265579	Kaisarea Hadrianopolis	IstForsch 39, 56	---	Greek
PH265580	Kaisarea Hadrianopolis	IstForsch 39, 57	---	Greek
PH265581	Kaisarea Hadrianopolis	IstForsch 39, 58	---	Greek
PH265582	Kaisarea Hadrianopolis	IstForsch 39, 59	---	Greek
PH265583	Kaisarea Hadrianopolis	IstForsch 39, 60	---	Greek
PH265584	Kaisarea Hadrianopolis	IstForsch 39, 61	---	Greek
PH265585	Kaisarea Hadrianopolis	IstForsch 39, 62	---	Greek
PH265586	Kaisarea Hadrianopolis	IstForsch 39, 63	---	Greek
PH265587	Kaisarea Hadrianopolis	IstForsch 39, 64	---	Greek
PH265588	Kaisarea Hadrianopolis	IstForsch 39, 65	---	Greek
PH265589	Kaisarea Hadrianopolis	IstForsch 39, 65 [2]	---	Greek
PH265590	Kaisarea Hadrianopolis	IstForsch 39, 66	---	Greek
PH265591	Kaisarea Hadrianopolis	IstForsch 39, 67	---	Greek
PH265592	Kaisarea Hadrianopolis	IstForsch 39, 68	---	Greek
PH265593	Kaisarea Hadrianopolis	IstForsch 39, 69	---	Greek
PH265595	Kaisarea Hadrianopolis	IstForsch 39, 71	---	Greek
PH265596	Kaisarea Hadrianopolis	IstForsch 39, 72	---	Greek
PH265597	Kaisarea Hadrianopolis	IstForsch 39, 73	---	Greek
PH265598	Kaisarea Hadrianopolis	IstForsch 39, 74	---	Greek
PH265599	Kaisarea Hadrianopolis	IstForsch 39, 75	---	Greek
PH265600	Kaisarea Hadrianopolis	IstForsch 39, 76	---	Greek
PH265601	Kaisarea Hadrianopolis	IstForsch 39, 77	---	Greek
PH265603	Kaisarea Hadrianopolis	IstForsch 39, 79	---	Greek
PH265604	Kaisarea Hadrianopolis	IstForsch 39, 80	---	Greek
PH265605	Kaisarea Hadrianopolis	IstForsch 39, 81	---	Greek
PH265606	Kaisarea Hadrianopolis	IstForsch 39, 82	---	Greek
PH265607	Kaisarea Hadrianopolis	IstForsch 39, 83	---	Greek
PH265608	Kaisarea Hadrianopolis	IstForsch 39, 84	---	Greek
PH265609	Kaisarea Hadrianopolis	IstForsch 39, 85	---	Greek
PH265610	Kaisarea Hadrianopolis	IstForsch 39, 85 [note]	---	Greek
PH265613	Kaisarea Hadrianopolis	IstForsch 39, 88	---	Greek
PH265614	Kaisarea Hadrianopolis	IstForsch 39, 89	---	Greek
PH265615	Kaisarea Hadrianopolis	IstForsch 39, 90	---	Greek
PH265617	Kaisarea Hadrianopolis	IstForsch 39, 92	---	Greek
PH265618	Kaisarea Hadrianopolis	IstForsch 39, 93	---	Greek
PH279774	Nicaea	SEG 14: 770	Roman period	Greek
	Nicaea	SEG 47: 1677	Roman Imperial period	Greek
	Nicaea	SEG 47: 1678	Roman Imperial period	Greek
	Nicaea	SEG 47: 1680	Roman Imperial period	Greek
	Nicaea	SEG 47: 1681	Roman Imperial period	Greek
	Nicaea	SEG 49: 1790	Roman Imperial period	Greek
	Nicaea	SEG 57: 1274	Roman Imperial period	Greek
	Nicaea	SEG 57: 1280	Roman Imperial period	Greek
	Nicaea	SEG 56: 1391	Roman Imperial period	Greek
	Nicaea	SEG 56: 1396	Roman Imperial period	Greek
	Nicaea	SEG 55: 1340	Roman Imperial period	Greek
	Nicaea	SEG 55: 1343	Roman Imperial period	Greek
	Nicaea	SEG 55: 1344	Roman Imperial period	Greek
	Nicaea	SEG 55: 1345	Roman Imperial period	Greek
	Nicaea	SEG 55: 1346	Roman Imperial period	Greek
	Nicaea	SEG 55: 1347	Roman Imperial period	Greek
	Nicaea	SEG 61: 1047	Roman Imperial period	Greek
	Nicaea	SEG 61: 1048	Roman Imperial period	Greek
	Nicaea	SEG 61: 1049	Roman Imperial period	Greek
	Nicaea	SEG 61: 1050	Roman Imperial period	Greek
	Nicaea	SEG 61: 1051	Roman Imperial period	Greek
	Nicaea	SEG 61: 1052	Roman Imperial period	Greek
	Nicaea	SEG 61: 1053	Roman Imperial period	Greek
	Nicaea	SEG 60: 1338	Roman Imperial period	Greek
	Nicaea	SEG 60: 1339	Roman Imperial period	Greek
	Nicaea	SEG 60: 1340	Roman Imperial period	Greek
	Nicaea	SEG 60: 1341	Roman Imperial period	Greek
	Nicaea	SEG 60: 1342	Roman Imperial period	Greek
	Nicaea	SEG 60: 1343	Roman Imperial period	Greek
	Nicaea	SEG 60: 1344	Roman Imperial period	Greek
	Nicaea	AE 1997, 1406	Roman Imp. period	Greek
	Nicaea	AE 1997, 1407	Roman Imp. period	Greek
	Nicaea	AE 1997, 1408	Roman Imp. period	Greek
PH277802	Nicaea	IK Iznik 10	Roman Imp. period	Latin
PH277866	Nicaea	IK Iznik 100	Roman Imp. period	Greek
PH278100	Nicaea	IK Iznik 1001	Roman Imp. period	Gr/Lat
PH278105	Nicaea	IK Iznik 1006	Roman Imp. period	Gr/Lat
PH278106	Nicaea	IK Iznik 1007	Roman Imp. period	Gr/Lat
PH277867	Nicaea	IK Iznik 101	Roman Imp. period	Greek
PH278113	Nicaea	IK Iznik 1014	Roman Imp. period	Latin
PH277868	Nicaea	IK Iznik 102	Roman Imp. period	Greek
PH277869	Nicaea	IK Iznik 103 [1]	Roman Imp. period	Greek
PH277870	Nicaea	IK Iznik 103 [2]	Roman Imp. period	Greek
PH278129	Nicaea	IK Iznik 1030	Roman Imp. period	Greek
PH278130	Nicaea	IK Iznik 1031	Roman Imp. period	Greek
PH278132	Nicaea	IK Iznik 1033	Roman Imp. period	Greek
PH277871	Nicaea	IK Iznik 104	Roman Imp. period	Greek
PH278135	Nicaea	IK Iznik 1041	Roman Imp. period	Greek
PH277872	Nicaea	IK Iznik 105	Roman Imp. period	Latin
PH278140	Nicaea	IK Iznik 1051	Roman Imp. period	Greek
PH278141	Nicaea	IK Iznik 1052	Roman Imp. period	Greek
PH277873	Nicaea	IK Iznik 106	Roman Imp. period	Greek
PH278146	Nicaea	IK Iznik 1061	Roman Imp. period	Greek
PH278148	Nicaea	IK Iznik 1063	Roman Imp. period	Greek
PH278149	Nicaea	IK Iznik 1064	Roman Imp. period	Greek
PH277874	Nicaea	IK Iznik 107	Roman Imp. period	Greek
PH278154	Nicaea	IK Iznik 1076	Roman Imp. period	Greek
PH278166	Nicaea	IK Iznik 1091	Roman Imp. period	Greek
PH278167	Nicaea	IK Iznik 1092	Roman Imp. period	Greek
PH278168	Nicaea	IK Iznik 1093	Roman Imp. period	Greek
PH278171	Nicaea	IK Iznik 1096	Roman Imp. period	Greek
PH278180	Nicaea	IK Iznik 1105	Roman Imp. period	Greek
PH278190	Nicaea	IK Iznik 1128	Roman Imp. period	Greek
PH277876	Nicaea	IK Iznik 117	Roman Imp. period	Greek
PH277877	Nicaea	IK Iznik 118	Roman Imp. period	Greek
PH277878	Nicaea	IK Iznik 119	Roman Imp. period	Greek
PH277879	Nicaea	IK Iznik 120	Roman Imp. period	Greek
PH277880	Nicaea	IK Iznik 121	Roman Imp. period	Greek
PH277881	Nicaea	IK Iznik 122	Roman Imp. period	Gr/Lat
PH277882	Nicaea	IK Iznik 123	Roman Imp. period	Gr/Lat
PH277883	Nicaea	IK Iznik 124	Roman Imp. period	Gr/Lat
PH277884	Nicaea	IK Iznik 125	Roman Imp. period	Greek
PH278246	Nicaea	IK Iznik 1258	Roman Imp. period	Greek
PH277885	Nicaea	IK Iznik 126	Roman Imp. period	Greek
PH278254	Nicaea	IK Iznik 1266	Roman Imp. period	Latin
PH277886	Nicaea	IK Iznik 127	Roman Imp. period	Greek
PH277887	Nicaea	IK Iznik 128	Roman Imp. period	Greek
PH278260	Nicaea	IK Iznik 1289	Roman Imp. period	Greek
PH277888	Nicaea	IK Iznik 129	Roman Imp. period	Greek
PH278264	Nicaea	IK Iznik 1293	Roman Imp. period	Greek
PH278265	Nicaea	IK Iznik 1294	Roman Imp. period	Greek
PH277889	Nicaea	IK Iznik 130	Roman Imp. period	Greek
PH277890	Nicaea	IK Iznik 131	Roman Imp. period	Greek
PH277891	Nicaea	IK Iznik 132	Roman Imp. period	Greek
PH278293	Nicaea	IK Iznik 1322	Roman Imp. period	Greek
PH277892	Nicaea	IK Iznik 133	Roman Imp. period	Greek
PH278301	Nicaea	IK Iznik 1330	Roman Imp. period	Greek
PH277893	Nicaea	IK Iznik 134	Roman Imp. period	Greek
PH277894	Nicaea	IK Iznik 135	Roman Imp. period	Greek
PH277895	Nicaea	IK Iznik 136	Roman Imp. period	Greek
PH277896	Nicaea	IK Iznik 137	Roman Imp. period	Greek
PH278343	Nicaea	IK Iznik 1372	Roman Imp. period	Greek
PH277897	Nicaea	IK Iznik 138	Roman Imp. period	Greek
PH277898	Nicaea	IK Iznik 139	Roman Imp. period	Greek
PH278368	Nicaea	IK Iznik 1397	Roman Imp. period	Greek
PH277899	Nicaea	IK Iznik 140	Roman Imp. period	Greek
PH277900	Nicaea	IK Iznik 141	Roman Imp. period	Greek
PH277901	Nicaea	IK Iznik 142	Roman Imp. period	Greek
PH277902	Nicaea	IK Iznik 143	Roman Imp. period	Greek
PH277903	Nicaea	IK Iznik 144	Roman Imp. period	Greek
PH277904	Nicaea	IK Iznik 145	Roman Imp. period	Greek
PH277905	Nicaea	IK Iznik 146	Roman Imp. period	Greek
PH277906	Nicaea	IK Iznik 147	Roman Imp. period	Greek
PH278456	Nicaea	IK Iznik 1501	Roman Imp. period	Greek
PH278460	Nicaea	IK Iznik 1505	Roman Imp. period	Greek
PH278461	Nicaea	IK Iznik 1506	Roman Imp. period	Greek
PH278462	Nicaea	IK Iznik 1507	Roman Imp. period	Greek
PH278490	Nicaea	IK Iznik 1595	Roman Imp. period	Greek
PH277907	Nicaea	IK Iznik 171	Roman Imp. period	Greek
PH277908	Nicaea	IK Iznik 172	Roman Imp. period	Greek
PH277909	Nicaea	IK Iznik 173	Roman Imp. period	Greek
PH277910	Nicaea	IK Iznik 174	Roman Imp. period	Greek
PH277912	Nicaea	IK Iznik 176	Roman Imp. period	Latin
PH277917	Nicaea	IK Iznik 195a	Roman Imp. period	Greek
PH277918	Nicaea	IK Iznik 196	Roman Imp. period	Greek
PH277919	Nicaea	IK Iznik 197	Roman Imp. period	Greek
PH277920	Nicaea	IK Iznik 198	Roman Imp. period	Greek
PH277921	Nicaea	IK Iznik 199	Roman Imp. period	Greek
PH277801	Nicaea	IK Iznik 2	Roman Imp. period	Greek
PH277922	Nicaea	IK Iznik 200	Roman Imp. period	Greek
PH277923	Nicaea	IK Iznik 201	Roman Imp. period	Greek
PH277924	Nicaea	IK Iznik 202	Roman Imp. period	Greek
PH277925	Nicaea	IK Iznik 203	Roman Imp. period	Greek
PH277926	Nicaea	IK Iznik 204	Roman Imp. period	Greek
PH277927	Nicaea	IK Iznik 205	Roman Imp. period	Greek
PH277928	Nicaea	IK Iznik 206	Roman Imp. period	Greek
PH277929	Nicaea	IK Iznik 207	Roman Imp. period	Greek
PH277930	Nicaea	IK Iznik 208	Roman Imp. period	Greek
PH277931	Nicaea	IK Iznik 209	Roman Imp. period	Greek
PH277932	Nicaea	IK Iznik 210	Roman Imp. period	Greek
PH277933	Nicaea	IK Iznik 211	Roman Imp. period	Greek
PH277936	Nicaea	IK Iznik 214	Roman Imp. period	Greek
PH277937	Nicaea	IK Iznik 215	Roman Imp. period	Greek
PH277938	Nicaea	IK Iznik 216	Roman Imp. period	Greek
PH277939	Nicaea	IK Iznik 217	Roman Imp. period	Greek
PH277940	Nicaea	IK Iznik 218	Roman Imp. period	Greek
PH277941	Nicaea	IK Iznik 219	Roman Imp. period	Greek
PH277942	Nicaea	IK Iznik 220	Roman Imp. period	Greek
PH277944	Nicaea	IK Iznik 222	Roman Imp. period	Greek
PH277945	Nicaea	IK Iznik 223	Roman Imp. period	Greek
PH277948	Nicaea	IK Iznik 226	Roman Imp. period	Greek
PH277949	Nicaea	IK Iznik 227	Roman Imp. period	Greek
PH277952	Nicaea	IK Iznik 230	Roman Imp. period	Greek
PH277953	Nicaea	IK Iznik 275	Roman Imp. period	Greek
PH277954	Nicaea	IK Iznik 276	Roman Imp. period	Greek
PH277955	Nicaea	IK Iznik 277	Roman Imp. period	Greek
PH277956	Nicaea	IK Iznik 278	Roman Imp. period	Greek
PH277959	Nicaea	IK Iznik 281	Roman Imp. period	Greek
PH277960	Nicaea	IK Iznik 282	Roman Imp. period	Greek
PH277961	Nicaea	IK Iznik 283	Roman Imp. period	Greek
PH277962	Nicaea	IK Iznik 284	Roman Imp. period	Greek
PH277963	Nicaea	IK Iznik 285	Roman Imp. period	Greek
PH277819	Nicaea	IK Iznik 33	Roman Imp. period	Greek
PH277966	Nicaea	IK Iznik 331	Roman Imp. period	Greek
PH277967	Nicaea	IK Iznik 332	Roman Imp. period	Greek
PH277968	Nicaea	IK Iznik 333	Roman Imp. period	Greek
PH277969	Nicaea	IK Iznik 334	Roman Imp. period	Greek
PH277970	Nicaea	IK Iznik 335	Roman Imp. period	Greek
PH277971	Nicaea	IK Iznik 336	Roman Imp. period	Greek
PH277972	Nicaea	IK Iznik 337	Roman Imp. period	Greek
PH277973	Nicaea	IK Iznik 338	Roman Imp. period	Greek
PH277974	Nicaea	IK Iznik 339	Roman Imp. period	Greek
PH277820	Nicaea	IK Iznik 34	Roman Imp. period	Greek
PH277975	Nicaea	IK Iznik 340	Roman Imp. period	Greek
PH277976	Nicaea	IK Iznik 341	Roman Imp. period	Greek
PH277977	Nicaea	IK Iznik 342	Roman Imp. period	Greek
PH277978	Nicaea	IK Iznik 343	Roman Imp. period	Greek
PH277979	Nicaea	IK Iznik 344	Roman Imp. period	Greek
PH277980	Nicaea	IK Iznik 345	Roman Imp. period	Greek
PH277981	Nicaea	IK Iznik 346	Roman Imp. period	Greek
PH277982	Nicaea	IK Iznik 347	Roman Imp. period	Greek
PH277983	Nicaea	IK Iznik 348	Roman Imp. period	Greek
PH277984	Nicaea	IK Iznik 349	Roman Imp. period	Greek
PH277821	Nicaea	IK Iznik 35	Roman Imp. period	Greek
PH277985	Nicaea	IK Iznik 350	Roman Imp. period	Greek
PH277986	Nicaea	IK Iznik 351	Roman Imp. period	Greek
PH277987	Nicaea	IK Iznik 352	Roman Imp. period	Greek
PH277988	Nicaea	IK Iznik 353	Roman Imp. period	Greek
PH277989	Nicaea	IK Iznik 354	Roman Imp. period	Greek
PH277990	Nicaea	IK Iznik 355	Roman Imp. period	Greek
PH277991	Nicaea	IK Iznik 356	Roman Imp. period	Greek
PH277992	Nicaea	IK Iznik 357	Roman Imp. period	Greek
PH277993	Nicaea	IK Iznik 358	Roman Imp. period	Greek
PH277994	Nicaea	IK Iznik 359	Roman Imp. period	Greek
PH277822	Nicaea	IK Iznik 36	Roman Imp. period	Greek
PH277995	Nicaea	IK Iznik 360	Roman Imp. period	Greek
PH277996	Nicaea	IK Iznik 361	Roman Imp. period	Greek
PH277997	Nicaea	IK Iznik 362	Roman Imp. period	Greek
PH277998	Nicaea	IK Iznik 363	Roman Imp. period	Greek
PH277999	Nicaea	IK Iznik 364	Roman Imp. period	Greek
PH278000	Nicaea	IK Iznik 365	Roman Imp. period	Greek
PH278001	Nicaea	IK Iznik 366	Roman Imp. period	Greek
PH278002	Nicaea	IK Iznik 367	Roman Imp. period	Greek
PH278003	Nicaea	IK Iznik 368	Roman Imp. period	Latin
PH278004	Nicaea	IK Iznik 369	Roman Imp. period	Latin
PH277823	Nicaea	IK Iznik 37	Roman Imp. period	Greek
PH278005	Nicaea	IK Iznik 370	Roman Imp. period	Gr/Lat
PH278006	Nicaea	IK Iznik 371	Roman Imp. period	Gr/Lat
PH277824	Nicaea	IK Iznik 38	Roman Imp. period	Greek
PH277825	Nicaea	IK Iznik 39	Roman Imp. period	Greek
PH277826	Nicaea	IK Iznik 40	Roman Imp. period	Greek
PH277827	Nicaea	IK Iznik 41	Roman Imp. period	Greek
PH277829	Nicaea	IK Iznik 43	Roman Imp. period	Greek
PH277834	Nicaea	IK Iznik 54	Roman Imp. period	Greek
PH277837	Nicaea	IK Iznik 57	Roman Imp. period	Greek
PH277838	Nicaea	IK Iznik 58	Roman Imp. period	Greek
PH277846	Nicaea	IK Iznik 66	Roman Imp. period	Greek
PH277852	Nicaea	IK Iznik 72	Roman Imp. period	Greek
PH277854	Nicaea	IK Iznik 81	Roman Imp. period	Greek
PH277856	Nicaea	IK Iznik 86	Roman Imp. period	Greek
PH277857	Nicaea	IK Iznik 87	Roman Imp. period	Greek
PH277858	Nicaea	IK Iznik 88	Roman Imp. period	Greek
PH277859	Nicaea	IK Iznik 89	Roman Imp. period	Greek
PH277861	Nicaea	IK Iznik 95	Roman Imp. period	Greek
PH277862	Nicaea	IK Iznik 96	Roman Imp. period	Greek
PH277863	Nicaea	IK Iznik 97	Roman Imp. period	Greek
PH277864	Nicaea	IK Iznik 98	Roman Imp. period	Greek
PH277865	Nicaea	IK Iznik 99	Roman Imp. period	Greek
	Nicaea	BCH 24, 415–416, 112	Roman	Greek
	Nicaea	SEG 49: 1791	---	Greek
	Nicaea	SEG 55: 1363	---	Greek
	Nicaea	SEG 55: 1364bis	---	Greek
PH278292	Nicaea	IK Iznik 1321	Late Hellenistic period	Greek
PH278352	Nicaea	IK Iznik 1381	Late Hellenistic period	Greek
PH278488	Nicaea	IK Iznik 1593	Late Hellenistic period	Greek
	Nicaea	SEG 44: 1007; TravMem 12, 350 - 353	Late 7th century AD	Greek
PH278338	Nicaea	IK Iznik 1367	Hellenistic period?	Greek
PH278483	Nicaea	IK Iznik 1588	Hellenistic period	Greek
PH277844	Nicaea	IK Iznik 64	end of the 3rd c. AD	Greek
	Nicaea	AE 2001, 1858	end of the 2nd c. AD	Greek
	Nicaea	AE 2007, 1330	end of the 2nd c. AD	Greek
PH278408	Nicaea	IK Iznik 1443	end of the 1st c. AD?	Greek
PH278454	Nicaea	IK Iznik 1492	Byzantine period	Greek
PH278032	Nicaea	IK Iznik 498	Byzantine period	Greek
PH278033	Nicaea	IK Iznik 499	Byzantine period	Greek
PH278037	Nicaea	IK Iznik 516,A	Byzantine period	Greek
PH278038	Nicaea	IK Iznik 516,B	Byzantine period	Greek
PH278039	Nicaea	IK Iznik 517	Byzantine period	Greek
PH278040	Nicaea	IK Iznik 518	Byzantine period	Greek
PH278041	Nicaea	IK Iznik 530	Byzantine period	Greek
PH278042	Nicaea	IK Iznik 531	Byzantine period	Greek
PH278043	Nicaea	IK Iznik 540	Byzantine period	Greek
PH278044	Nicaea	IK Iznik 550	Byzantine period	Greek
PH278045	Nicaea	IK Iznik 551	Byzantine period	Greek
PH278046	Nicaea	IK Iznik 552	Byzantine period	Greek
PH278047	Nicaea	IK Iznik 553	Byzantine period	Greek
PH278048	Nicaea	IK Iznik 554	Byzantine period	Greek
PH278049	Nicaea	IK Iznik 555	Byzantine period	Greek
PH278051	Nicaea	IK Iznik 557	Byzantine period	Greek
PH278052	Nicaea	IK Iznik 558	Byzantine period	Greek
PH278054	Nicaea	IK Iznik 570	Byzantine period	Greek
PH278056	Nicaea	IK Iznik 572	Byzantine period	Greek
PH278057	Nicaea	IK Iznik 573	Byzantine period	Greek
PH278058	Nicaea	IK Iznik 574	Byzantine period	Latin
PH278059	Nicaea	IK Iznik 575	Byzantine period	Greek
PH278061	Nicaea	IK Iznik 577	Byzantine period	Greek
PH278062	Nicaea	IK Iznik 578	Byzantine period	Greek
PH278063	Nicaea	IK Iznik 585	Byzantine period	Greek
PH278064	Nicaea	IK Iznik 586	Byzantine period	Greek
PH278066	Nicaea	IK Iznik 588	Byzantine period	Greek
PH278067	Nicaea	IK Iznik 589	Byzantine period	Greek
PH278068	Nicaea	IK Iznik 615	Byzantine period	Greek
	Nicaea	SEG 58: 1448	Byzantine period	Greek
	Nicaea	AE 2001, 1859	beg. of the 3rd c. AD	Greek
PH277855	Nicaea	IK Iznik 85	beg. of the 2nd c. AD	Greek
PH277875	Nicaea	IK Iznik 116	after ca. 70–79 AD	Greek
	Nicaea	AE 2005, 1425	after 212 AD	Greek
	Nicaea	SEG 55: 1357	after 212 AD	Greek
	Nicaea	SEG 55: 1359	after 212 AD	Greek
PH277818	Nicaea	IK Iznik 32	after 128 AD	Greek
	Nicaea	SEG 57: 1273	AD 251 - 300	Greek
	Nicaea	SEG 44: 1008	AD 243/244	Greek
	Nicaea	SEG 58: 1447	AD 150 - 200	Greek
PH277833	Nicaea	IK Iznik 53	97/98–98/99 AD	Greek
HD037032	Nicaea	AE 2001, 1857	78/79 AD	Greek
PH277828	Nicaea	IK Iznik 42	70–79? AD	Greek
PH277810	Nicaea	IK Iznik 25	70–79 AD	Greek
PH277811	Nicaea	IK Iznik 26	70–79 AD	Greek
PH277812	Nicaea	IK Iznik 27	70–79 AD	Greek
PH277813	Nicaea	IK Iznik 28	70–79 AD	Greek
PH277831	Nicaea	IK Iznik 51	70–79 AD	Greek
PH277832	Nicaea	IK Iznik 52	70–79 AD	Greek
PH278055	Nicaea	IK Iznik 571	6th c. AD	Greek
PH278206	Nicaea	IK Iznik 1161	62/3 AD	Greek
	Nicaea	SEG 47: 1684	5th/4th century BC	Greek
PH278053	Nicaea	IK Iznik 559	5th c. AD?	Greek
PH277805	Nicaea	IK Iznik 13	58 AD	Gr/Lat
PH278268	Nicaea	IK Iznik 1297	4th c. AD?	Greek
PH278182	Nicaea	IK Iznik 1114	4th c. AD	Greek
PH277950	Nicaea	IK Iznik 228	4th c. AD	Greek
PH278481	Nicaea	IK Iznik 1586	4th – 5th c. AD?	Greek
PH278050	Nicaea	IK Iznik 556	4th – 5th c. AD	Greek
PH277848	Nicaea	IK Iznik 68	414–416 AD	Latin
	Nicaea	SEG 55: 1362	3rd century AD ?	Greek
	Nicaea	SEG 51: 1712	3rd century AD	Greek
	Nicaea	SEG 51: 1713	3rd century AD	Greek
	Nicaea	SEG 56: 1394	3rd century AD	Greek
	Nicaea	SEG 56: 1395	3rd century AD	Greek
	Nicaea	SEG 55: 1338	3rd century AD	Greek
	Nicaea	SEG 55: 1339	3rd century AD	Greek
	Nicaea	SEG 55: 1360	3rd century AD	Greek
	Nicaea	SEG 55: 1361	3rd century AD	Greek
PH278133	Nicaea	IK Iznik 1034	3rd c. AD?	Greek
PH278147	Nicaea	IK Iznik 1062	3rd c. AD?	Greek
PH278151	Nicaea	IK Iznik 1066	3rd c. AD?	Greek
PH278193	Nicaea	IK Iznik 1131	3rd c. AD?	Greek
PH278239	Nicaea	IK Iznik 1251	3rd c. AD?	Greek
PH278285	Nicaea	IK Iznik 1314	3rd c. AD?	Greek
PH278295	Nicaea	IK Iznik 1324	3rd c. AD?	Greek
PH278302	Nicaea	IK Iznik 1331	3rd c. AD?	Greek
PH278356	Nicaea	IK Iznik 1385	3rd c. AD?	Greek
PH278360	Nicaea	IK Iznik 1389	3rd c. AD?	Greek
PH278411	Nicaea	IK Iznik 1446	3rd c. AD?	Greek
PH278463	Nicaea	IK Iznik 1508	3rd c. AD?	Greek
PH278465	Nicaea	IK Iznik 1510	3rd c. AD?	Greek
PH278470	Nicaea	IK Iznik 1515	3rd c. AD?	Greek
PH278475	Nicaea	IK Iznik 1580	3rd c. AD?	Greek
PH277849	Nicaea	IK Iznik 69	3rd c. AD?	Greek
	Nicaea	AE 2006, 1386	3rd c. AD	Greek
	Nicaea	AE 2006, 1389	3rd c. AD	Greek
	Nicaea	AE 2006, 1390	3rd c. AD	Greek
	Nicaea	AE 2007, 1326	3rd c. AD	Greek
PH278136	Nicaea	IK Iznik 1042	3rd c. AD	Greek
PH278137	Nicaea	IK Iznik 1043	3rd c. AD	Greek
PH278138	Nicaea	IK Iznik 1044	3rd c. AD	Greek
PH278139	Nicaea	IK Iznik 1045	3rd c. AD	Greek
PH278145	Nicaea	IK Iznik 1057	3rd c. AD	Greek
PH278156	Nicaea	IK Iznik 1081	3rd c. AD	Greek
PH278157	Nicaea	IK Iznik 1082	3rd c. AD	Greek
PH278158	Nicaea	IK Iznik 1083	3rd c. AD	Greek
PH278160	Nicaea	IK Iznik 1085	3rd c. AD	Greek
PH278183	Nicaea	IK Iznik 1115	3rd c. AD	Greek
