"","ikey","Location","Source","Chronological.Frame","Language"
"1438","PH278401","Nicaea","IK Iznik 1435","1st - 2nd c. AD?","Greek"
"1439","PH278404","Nicaea","IK Iznik 1438","1st - 2nd c. AD?","Greek"
"1440","PH277911","Nicaea","IK Iznik 175","1st - 2nd c. AD?","Greek"
"1441","PH278131","Nicaea","IK Iznik 1032","1st - 2nd c. AD","Greek"
"1442","PH278143","Nicaea","IK Iznik 1055","1st - 2nd c. AD","Greek"
"1443","PH278150","Nicaea","IK Iznik 1065","1st - 2nd c. AD","Greek"
"1444","PH278153","Nicaea","IK Iznik 1071","1st - 2nd c. AD","Greek"
"1445","PH278175","Nicaea","IK Iznik 1100","1st - 2nd c. AD","Greek"
"1446","PH278219","Nicaea","IK Iznik 1230","1st - 2nd c. AD","Greek"
"1447","PH278224","Nicaea","IK Iznik 1235","1st - 2nd c. AD","Greek"
"1448","PH278231","Nicaea","IK Iznik 1242","1st - 2nd c. AD","Greek"
"1449","PH278237","Nicaea","IK Iznik 1248","1st - 2nd c. AD","Greek"
"1450","PH278307","Nicaea","IK Iznik 1336","1st - 2nd c. AD","Greek"
"1451","PH278342","Nicaea","IK Iznik 1371","1st - 2nd c. AD","Greek"
"1452","PH278350","Nicaea","IK Iznik 1379","1st - 2nd c. AD","Greek"
"1453","PH278400","Nicaea","IK Iznik 1434","1st - 2nd c. AD","Greek"
"1454","PH278402","Nicaea","IK Iznik 1436","1st - 2nd c. AD","Greek"
"1455","PH278414","Nicaea","IK Iznik 1449","1st - 2nd c. AD","Greek"
"1456","PH278448","Nicaea","IK Iznik 1483","1st - 2nd c. AD","Greek"
"1457","PH278449","Nicaea","IK Iznik 1484","1st - 2nd c. AD","Greek"
"1458","PH277913","Nicaea","IK Iznik 192","1st - 2nd c. AD","Greek"
"1459","PH277853","Nicaea","IK Iznik 73","1st - 2nd c. AD","Greek"
"1460","PH278107","Nicaea","IK Iznik 1008","199 AD","Latin"
"1461","PH278469","Nicaea","IK Iznik 1514","175/176? AD","Greek"
"1462","HD037033","Nicaea","AE 2001, 1858","171-200 AD","Greek"
"1463","PH277830","Nicaea","IK Iznik 47","161-180 AD","Greek"
"1464","PH278215","Nicaea","IK Iznik 1207","150/151 AD","Greek"
"1465","PH278207","Nicaea","IK Iznik 1162","146 AD","Greek"
"1466","PH278134","Nicaea","IK Iznik 1035","140/141 AD","Greek"
"1467","PH278214","Nicaea","IK Iznik 1206","131/132 AD","Greek"
"1468","PH278191","Nicaea","IK Iznik 1129","131 AD","Greek"
"1469","","Nicaea","AE 2003, 1650","128 AD","Latin"
"1470","PH278217","Nicaea","IK Iznik 1209","123/124? AD","Greek"
"1471","PH277814","Nicaea","IK Iznik 29","123 AD","Greek"
"1472","PH277815","Nicaea","IK Iznik 30","123 AD","Greek"
"1473","PH277816","Nicaea","IK Iznik 30a","123 AD","Greek"
"1474","PH278189","Nicaea","IK Iznik 1127","122/123 AD","Greek"
"1475","PH277835","Nicaea","IK Iznik 55","119-138 AD","Latin"
"1476","PH277836","Nicaea","IK Iznik 56; SEG 46: 1604","117-138 AD (AD 123?)","Greek"
"1477","PH277800","Nicaea","IK Iznik 1","117-138 AD","Greek"
"1478","PH279898","Nicaea","SEG 37: 1071","117-138 AD","Greek"
"1479","PH279899","Nicaea","SEG 37: 1071 [2]","117-138 AD","Greek"
"1480","PH278101","Nicaea","IK Iznik 1002","116 AD","Latin"
"1481","PH278212","Nicaea","IK Iznik 1204","114-117 AD","Greek"
"1482","PH278213","Nicaea","IK Iznik 1205","114-117 AD","Greek"
"1483","PH277817","Nicaea","IK Iznik 31","102-116 AD","Greek"
"1484","PH278210","Nicaea","IK Iznik 1202","102-114","Greek"
"1485","","Nicaea","AE 2006, 1385","---","Greek"
"1486","HD053090","Nicaea","AE 1993, 1434","---","Latin"
"1487","PH279760","Nicaea","CIG 9260","---","Greek"
"1488","HD056508","Nicaea","CIL III: 571; CIL III: 7406","---","Latin"
"1489","PH278103","Nicaea","IK Iznik 1004","---","Greek"
"1490","PH278123","Nicaea","IK Iznik 1024","---","Greek"
"1491","PH278125","Nicaea","IK Iznik 1026","---","Latin"
"1492","PH278142","Nicaea","IK Iznik 1054","---","Greek"
"1493","PH278155","Nicaea","IK Iznik 1080","---","Greek"
"1494","PH278159","Nicaea","IK Iznik 1084","---","Greek"
"1495","PH278161","Nicaea","IK Iznik 1086","---","Greek"
"1496","PH278162","Nicaea","IK Iznik 1087","---","Greek"
"1497","PH278163","Nicaea","IK Iznik 1088","---","Greek"
"1498","PH278169","Nicaea","IK Iznik 1094","---","Greek"
"1499","PH278170","Nicaea","IK Iznik 1095","---","Greek"
"1500","PH278172","Nicaea","IK Iznik 1097","---","Greek"
"1501","PH278174","Nicaea","IK Iznik 1099","---","Greek"
"1502","PH278177","Nicaea","IK Iznik 1102","---","Greek"
"1503","PH278178","Nicaea","IK Iznik 1103","---","Greek"
"1504","PH278179","Nicaea","IK Iznik 1104","---","Greek"
"1505","PH278181","Nicaea","IK Iznik 1110","---","Greek"
"1506","PH278192","Nicaea","IK Iznik 1130","---","Greek"
"1507","PH278195","Nicaea","IK Iznik 1136","---","Greek"
"1508","PH278197","Nicaea","IK Iznik 1142","---","Latin"
"1509","PH278198","Nicaea","IK Iznik 1150","---","Greek"
"1510","PH278201","Nicaea","IK Iznik 1153","---","Greek"
"1511","PH278202","Nicaea","IK Iznik 1154","---","Greek"
"1512","PH278203","Nicaea","IK Iznik 1155","---","Greek"
"1513","PH278205","Nicaea","IK Iznik 1157","---","Greek"
"1514","PH278208","Nicaea","IK Iznik 1163","---","Greek"
"1515","PH278209","Nicaea","IK Iznik 1201","---","Greek"
"1516","PH278211","Nicaea","IK Iznik 1203","---","Greek"
"1517","PH278216","Nicaea","IK Iznik 1208","---","Latin"
"1518","PH278218","Nicaea","IK Iznik 1210","---","Greek"
"1519","PH278222","Nicaea","IK Iznik 1233","---","Greek"
"1520","PH278223","Nicaea","IK Iznik 1234","---","Greek"
"1521","PH278228","Nicaea","IK Iznik 1239","---","Greek"
"1522","PH278230","Nicaea","IK Iznik 1241","---","Greek"
"1523","PH278232","Nicaea","IK Iznik 1243","---","Greek"
"1524","PH278234","Nicaea","IK Iznik 1245","---","Greek"
"1525","PH278236","Nicaea","IK Iznik 1247","---","Greek"
"1526","PH278240","Nicaea","IK Iznik 1252","---","Greek"
"1527","PH278241","Nicaea","IK Iznik 1253","---","Greek"
"1528","PH278243","Nicaea","IK Iznik 1255","---","Greek"
"1529","PH278244","Nicaea","IK Iznik 1256","---","Greek"
"1530","PH278245","Nicaea","IK Iznik 1257","---","Greek"
"1531","PH278253","Nicaea","IK Iznik 1265","---","Greek"
"1532","PH278255","Nicaea","IK Iznik 1281","---","Greek"
"1533","PH278256","Nicaea","IK Iznik 1282","---","Greek"
"1534","PH278257","Nicaea","IK Iznik 1283","---","Greek"
"1535","PH278258","Nicaea","IK Iznik 1284","---","Greek"
"1536","PH278259","Nicaea","IK Iznik 1288","---","Greek"
"1537","PH278261","Nicaea","IK Iznik 1290","---","Greek"
"1538","PH278263","Nicaea","IK Iznik 1292","---","Greek"
"1539","PH278269","Nicaea","IK Iznik 1298","---","Greek"
"1540","PH278270","Nicaea","IK Iznik 1299","---","Greek"
"1541","PH278271","Nicaea","IK Iznik 1300","---","Greek"
"1542","PH278272","Nicaea","IK Iznik 1301","---","Greek"
"1543","PH278273","Nicaea","IK Iznik 1302","---","Greek"
"1544","PH278274","Nicaea","IK Iznik 1303","---","Greek"
"1545","PH278275","Nicaea","IK Iznik 1304","---","Greek"
"1546","PH278276","Nicaea","IK Iznik 1305","---","Greek"
"1547","PH278277","Nicaea","IK Iznik 1306","---","Greek"
"1548","PH278278","Nicaea","IK Iznik 1307","---","Greek"
"1549","PH278279","Nicaea","IK Iznik 1308","---","Greek"
"1550","PH278281","Nicaea","IK Iznik 1310","---","Greek"
"1551","PH278282","Nicaea","IK Iznik 1311","---","Greek"
"1552","PH278289","Nicaea","IK Iznik 1318","---","Greek"
"1553","PH278290","Nicaea","IK Iznik 1319","---","Greek"
"1554","PH278291","Nicaea","IK Iznik 1320","---","Greek"
"1555","PH278298","Nicaea","IK Iznik 1327","---","Greek"
"1556","PH278303","Nicaea","IK Iznik 1332","---","Greek"
"1557","PH278304","Nicaea","IK Iznik 1333","---","Greek"
"1558","PH278306","Nicaea","IK Iznik 1335","---","Greek"
"1559","PH278308","Nicaea","IK Iznik 1337","---","Greek"
"1560","PH278309","Nicaea","IK Iznik 1338","---","Greek"
"1561","PH278310","Nicaea","IK Iznik 1339","---","Greek"
"1562","PH278311","Nicaea","IK Iznik 1340","---","Greek"
"1563","PH278312","Nicaea","IK Iznik 1341","---","Greek"
"1564","PH278313","Nicaea","IK Iznik 1342","---","Greek"
"1565","PH278314","Nicaea","IK Iznik 1343","---","Greek"
"1566","PH278315","Nicaea","IK Iznik 1344","---","Greek"
"1567","PH278316","Nicaea","IK Iznik 1345","---","Greek"
"1568","PH278317","Nicaea","IK Iznik 1346","---","Greek"
"1569","PH278318","Nicaea","IK Iznik 1347","---","Greek"
"1570","PH278319","Nicaea","IK Iznik 1348","---","Greek"
"1571","PH278320","Nicaea","IK Iznik 1349","---","Greek"
"1572","PH278321","Nicaea","IK Iznik 1350","---","Greek"
"1573","PH278322","Nicaea","IK Iznik 1351","---","Greek"
"1574","PH278324","Nicaea","IK Iznik 1353","---","Greek"
"1575","PH278325","Nicaea","IK Iznik 1354","---","Greek"
"1576","PH278326","Nicaea","IK Iznik 1355","---","Greek"
"1577","PH278327","Nicaea","IK Iznik 1356","---","Greek"
"1578","PH278328","Nicaea","IK Iznik 1357","---","Greek"
"1579","PH278329","Nicaea","IK Iznik 1358","---","Greek"
"1580","PH278330","Nicaea","IK Iznik 1359","---","Greek"
"1581","PH278331","Nicaea","IK Iznik 1360","---","Greek"
"1582","PH278332","Nicaea","IK Iznik 1361","---","Greek"
"1583","PH278333","Nicaea","IK Iznik 1362","---","Greek"
"1584","PH278334","Nicaea","IK Iznik 1363","---","Greek"
"1585","PH278337","Nicaea","IK Iznik 1366","---","Greek"
"1586","PH278348","Nicaea","IK Iznik 1377","---","Greek"
"1587","PH278359","Nicaea","IK Iznik 1388","---","Greek"
"1588","PH278362","Nicaea","IK Iznik 1391","---","Greek"
"1589","PH278369","Nicaea","IK Iznik 1398","---","Greek"
"1590","PH278370","Nicaea","IK Iznik 1401","---","Greek"
"1591","PH278372","Nicaea","IK Iznik 1403","---","Greek"
"1592","PH278390","Nicaea","IK Iznik 1422","---","Greek"
"1593","PH278396","Nicaea","IK Iznik 1428","---","Greek"
"1594","PH278397","Nicaea","IK Iznik 1429","---","Greek"
"1595","PH278398","Nicaea","IK Iznik 1430","---","Latin"
"1596","PH278410","Nicaea","IK Iznik 1445","---","Greek"
"1597","PH278416","Nicaea","IK Iznik 1451","---","Greek"
"1598","PH278419","Nicaea","IK Iznik 1454","---","Greek"
"1599","PH278421","Nicaea","IK Iznik 1456","---","Greek"
"1600","PH278422","Nicaea","IK Iznik 1457","---","Greek"
"1601","PH278436","Nicaea","IK Iznik 1471","---","Greek"
"1602","PH278438","Nicaea","IK Iznik 1473","---","Greek"
"1603","PH278439","Nicaea","IK Iznik 1474","---","Greek"
"1604","PH278440","Nicaea","IK Iznik 1475","---","Greek"
"1605","PH278441","Nicaea","IK Iznik 1476","---","Greek"
"1606","PH278442","Nicaea","IK Iznik 1477","---","Greek"
"1607","PH278443","Nicaea","IK Iznik 1478","---","Greek"
"1608","PH278444","Nicaea","IK Iznik 1479","---","Greek"
"1609","PH278445","Nicaea","IK Iznik 1480","---","Greek"
"1610","PH278446","Nicaea","IK Iznik 1481","---","Greek"
"1611","PH278452","Nicaea","IK Iznik 1487","---","Greek"
"1612","PH278453","Nicaea","IK Iznik 1491","---","Greek"
"1613","PH278455","Nicaea","IK Iznik 1493","---","Greek"
"1614","PH278459","Nicaea","IK Iznik 1504","---","Greek"
"1615","PH278468","Nicaea","IK Iznik 1513","---","Greek"
"1616","PH278471","Nicaea","IK Iznik 1516","---","Greek"
"1617","PH278474","Nicaea","IK Iznik 1579","---","Greek"
"1618","PH278476","Nicaea","IK Iznik 1581","---","Greek"
"1619","PH278477","Nicaea","IK Iznik 1582","---","Greek"
"1620","PH278478","Nicaea","IK Iznik 1583","---","Greek"
"1621","PH278480","Nicaea","IK Iznik 1585","---","Greek"
"1622","PH278482","Nicaea","IK Iznik 1587","---","Greek"
"1623","PH278069","Nicaea","IK Iznik 630","---","Greek"
"1624","PH278070","Nicaea","IK Iznik 631","---","Greek"
"1625","PH278071","Nicaea","IK Iznik 632","---","Greek"
"1626","PH278075","Nicaea","IK Iznik 703","---","Greek"
"1627","","Nicaea","ILS 8867","---","Greek"
"1628","PH279797","Nicaea","SEG 30: 1428","---","Greek"
"1629","PH279800","Nicaea","SEG 30: 1431","---","Greek"
"1630","PH279801","Nicaea","SEG 30: 1432","---","Greek"
"1631","PH279802","Nicaea","SEG 30: 1433","---","Greek"
"1632","PH279803","Nicaea","SEG 30: 1434","---","Greek"
"1633","PH279815","Nicaea","SEG 33: 1081","---","Greek"
"1634","PH279816","Nicaea","SEG 33: 1082","---","Greek"
"1635","PH279834","Nicaea","SEG 36: 1148","---","Greek"
"1636","PH279838","Nicaea","SEG 36: 1153","---","Greek"
"1637","PH278980","Nicaea","TAM IV,1, 160; EpigrAnat 3, 106-107, 2","---","Greek"
"1638","PH278878","Nicaea","TAM IV,1, 57; EpigrAnat 3, 106, 1","---","Greek"
"1639","PH279787","Nicaea ","SEG 29: 1276","Late Hellenistic period","Greek"
"1640","PH279779","Nicomedia","SEG 27: 827","Roman period","Greek"
"1641","","Nicomedia","SEG 56: 1399","Roman Imperial period","Greek"
"1642","","Nicomedia","SEG 56: 1401","Roman Imperial period","Greek"
"1643","","Nicomedia","SEG 56: 1402","Roman Imperial period","Greek"
"1644","","Nicomedia","SEG 56: 1403","Roman Imperial period","Greek"
"1645","","Nicomedia","SEG 55: 1366","Roman Imperial period","Greek"
"1646","","Nicomedia","SEG 55: 1367","Roman Imperial period","Greek"
"1647","","Nicomedia","SEG 55: 1368","Roman Imperial period","Greek"
"1648","PH279775","Nicomedia","SEG 26: 1347 [1]","Roman Imp. period","Greek"
"1649","PH279776","Nicomedia","SEG 26: 1347 [2]","Roman Imp. period","Greek"
"1650","PH279790","Nicomedia","SEG 29: 1347","Roman Imp. period","Greek"
"1651","PH279841","Nicomedia","SEG 36: 1156","Roman Imp. period","Greek"
"1652","PH278824","Nicomedia","TAM IV,1, 4","Roman Imp. period","Greek"
"1653","","Nicomedia","AE 2006, 1396","Roman Imp. period","Greek"
"1654","","Nicomedia","SEG 49: 1793","---","Greek"
"1655","","Nicomedia","SEG 49: 1795","---","Greek"
"1656","PH279756","Nicomedia","CIG 3265","end of the 2nd c. AD","Greek"
"1657","PH279763","Nicomedia","OstgrGR 635","end of the 1st c. AD","Greek"
"1658","PH279935","Nicomedia","SEG 42: 1113","Early Roman period","Greek"
"1659","","Nicomedia","SEG 49: 1794","early Byzantine period","Greek"
"1660","","Nicomedia","SEG 56: 1406","early 3rd century AD","Greek"
"1661","","Nicomedia","SEG 56: 1407","early 3rd century AD","Greek"
"1662","PH278845","Nicomedia","TAM IV,1, 25","ca. 214? AD","Greek"
"1663","PH279936","Nicomedia","SEG 42: 1114","ca. 200 AD","Greek"
"1664","","Nicomedia","SEG 55: 1365bis","after 212 AD","Greek"
"1665","PH278854","Nicomedia","TAM IV,1, 34","after 138 AD","Greek"
"1666","","Nicomedia","SEG 61: 1057","AD 150 - 200","Greek"
"1667","","Nicomedia","SEG 44: 1010","AD 100 - 150","Greek"
"1668","PH278881","Nicomedia","TAM IV,1, 60","98/99 AD","Greek"
"1669","PH278835","Nicomedia","TAM IV,1, 15","93/94 AD","Greek"
"1670","PH278842","Nicomedia","TAM IV,1, 22","69-79 AD","Greek"
"1671","PH279901","Nicomedia","SEG 37: 1073","5th - 6th c. AD","Greek"
"1672","PH279906","Nicomedia","SEG 37: 1078","5th - 6th c. AD","Greek"
"1673","PH279909","Nicomedia","SEG 37: 1081","4th c. AD","Gr/Lat"
"1674","PH279189","Nicomedia","TAM IV,1, 367","4th c. AD","Gr/Lat"
"1675","","Nicomedia","SEG 61: 1058","3rd/4th century AD (or later)","Greek"
"1676","PH278953","Nicomedia","TAM IV,1, 132","3rd or 4th century AD","Greek"
"1677","PH279781","Nicomedia","SEG 28: 1037","3rd c. AD or before","Greek"
"1678","","Nicomedia","AE 1989, 672","3rd c. AD","Greek"
"1679","","Nicomedia","AE 2006, 1398","3rd c. AD","Greek"
"1680","PH279810","Nicomedia","SEG 32: 1255","3rd c. AD","Greek"
"1681","PH278840","Nicomedia","TAM IV,1, 20","3rd c. AD","Greek"
"1682","PH279900","Nicomedia","SEG 37: 1072","3rd - 4th c. AD","Greek"
"1683","HD049163","Nicomedia","AE 1998, 1285","364-378 AD","Latin"
"1684","PH279009","Nicomedia","TAM IV,1, 189; SEG 45: 1690","2nd/3rd century AD","Greek"
"1685","","Nicomedia","SEG 56: 1400","2nd century AD","Greek"
"1686","","Nicomedia","SEG 56: 1404","2nd century AD","Greek"
"1687","","Nicomedia","SEG 56: 1405","2nd century AD","Greek"
"1688","PH278944","Nicomedia","TAM IV,1, 123","2nd c. BC","Greek"
"1689","","Nicomedia","AE 1998, 1286","2nd c. AD","Greek"
"1690","","Nicomedia","AE 1998, 1286; AE 2002, 1351","2nd c. AD","Greek"
"1691","","Nicomedia","AE 2006, 1399","2nd c. AD","Greek"
"1692","PH279789","Nicomedia","SEG 29: 1346","2nd c. AD","Greek"
"1693","PH279796","Nicomedia","SEG 29: 1353","2nd c. AD","Greek"
"1694","PH279804","Nicomedia","SEG 30: 1436","2nd c. AD","Greek"
"1695","","Nicomedia","AE 2006, 1397","2nd - beg. of the 3rd c. AD","Greek"
"1696","PH279817","Nicomedia","SEG 33: 1084","2nd - 3rd c. AD","Greek"
"1697","PH278851","Nicomedia","TAM IV,1, 31","294-296 AD","Latin"
"1698","HD000916","Nicomedia","AE 1983, 905","293-305 AD","Latin"
"1699","PH278850","Nicomedia","TAM IV,1, 30","286-305 AD","Latin"
"1700","PH279075","Nicomedia","TAM IV,1, 255","284-305? AD","Greek"
"1701","PH278848","Nicomedia","TAM IV,1, 28","284-305 AD","Latin"
"1702","PH278849","Nicomedia","TAM IV,1, 29","284-305 AD","Latin"
"1703","HD000901","Nicomedia","AE 1983, 904;                              EpigrAnat 1, 52, 7, Tab. 7, 7","275/276 AD","Latin"
"1704","HD000904","Nicomedia","AE 1983, 903;                                EpigrAnat 1, 51-52, 6, Tab. 6, 6","275/276 AD","Gr/Lat"
"1705","HD000910","Nicomedia","AE 1983, 902;                           EpigrAnat 1, 50-51, 5, Tab. 6, 5","260 AD","Gr/Lat"
"1706","HD000814","Nicomedia","AE 1983, 901;                                EpigrAnat 1, 50, 4, Tab.5, 4","253 AD","Gr/Lat"
"1707","","Nicomedia","AE 1992, 1566","253 AD","Greek"
"1708","PH278821","Nicomedia","TAM IV,1, 1","246-242 BC","Greek"
"1709","PH279919","Nicomedia","SEG 39: 1342","245/246 AD","Greek"
"1710","","Nicomedia","AE 1992, 1565","245/246 AD","Greek"
"1711","HD000913","Nicomedia","AE 1983, 900;                           EpigrAnat 1, 49-50, 3, Tab. 5, 3","244-249 AD","Gr/Lat"
"1712","PH278834","Nicomedia","TAM IV,1, 14","241? AD","Latin"
"1713","HD000886","Nicomedia","AE 1983, 898;                               EpigrAnat 1, 48-49, 1, Tab. 5, 1","239-244 AD","Gr/Lat"
"1714","HD000907","Nicomedia","AE 1983, 899;                                  EpigrAnat 1, 49, 2, Tab. 5, 2","238-244 AD","Latin"
"1715","PH278875","Nicomedia","TAM IV,1, 54","218? AD","Latin"
"1716","PH278847","Nicomedia","TAM IV,1, 27","208 AD","Greek"
"1717","PH278846","Nicomedia","TAM IV,1, 26","206 AD","Greek"
"1718","PH278900","Nicomedia","TAM IV,1, 79","206 AD","Greek"
"1719","PH278841","Nicomedia","TAM IV,1, 21","2 BC or later","Latin"
"1720","PH279762","Nicomedia","OstgrGR 548","1st half of the 2nd c. AD?","Greek"
"1721","PH279839","Nicomedia","SEG 36: 1154","1st c. BC - 1st c. AD","Greek"
"1722","PH279728","Nicomedia","AnthGr II 7: 627","1st c. BC","Greek"
"1723","PH279766","Nicomedia","OstgrGR 1941","1st c. BC","Greek"
"1724","PH279765","Nicomedia","OstgrGR 1689","1st c. AD?","Greek"
"1725","PH278833","Nicomedia","TAM IV,1, 13","199 AD","Latin"
"1726","PH279788","Nicomedia","SEG 29: 1345","196-211 AD","Greek"
"1727","PH278903","Nicomedia","TAM IV,1, 82","156/157 AD","Greek"
"1728","PH278899","Nicomedia","TAM IV,1, 78","155/156? AD","Greek"
"1729","PH278888","Nicomedia","TAM IV,1, 67","155/156 AD","Greek"
"1730","PH278870","Nicomedia","TAM IV,1, 49","150 AD","Greek"
"1731","PH278871","Nicomedia","TAM IV,1, 50","150 AD","Greek"
"1732","PH279840","Nicomedia","SEG 36: 1155","147 AD","Greek"
"1733","PH278884","Nicomedia","TAM IV,1, 63","145/146 AD","Greek"
"1734","PH278838","Nicomedia","TAM IV,1, 18","134/135 AD","Greek"
"1735","PH278844","Nicomedia","TAM IV,1, 24","128-138 AD","Greek"
"1736","PH278825","Nicomedia","TAM IV,1, 5","128-138 AD","Greek"
"1737","PH278837","Nicomedia","TAM IV,1, 17","128/129-130/131 &   184/185 AD","Greek"
"1738","PH278843","Nicomedia","TAM IV,1, 23","125/126 AD","Greek"
"1739","PH278836","Nicomedia","TAM IV,1, 16","122/123-126/127 AD","Greek"
"1740","PH278910","Nicomedia","TAM IV,1, 89","120/121 AD","Greek"
"1741","PH278880","Nicomedia","TAM IV,1, 59","119 AD","Greek"
"1742","PH278908","Nicomedia","TAM IV,1, 87","117-138? AD","Greek"
"1743","PH278830","Nicomedia","TAM IV,1, 10","117-138 AD","Latin"
"1744","PH278894","Nicomedia","TAM IV,1, 73","117-138 AD","Greek"
"1745","PH278919","Nicomedia","TAM IV,1, 98","117-138 AD","Greek"
"1746","PH278831","Nicomedia","TAM IV,1, 11","116 AD","Latin"
"1747","PH278832","Nicomedia","TAM IV,1, 12","116 AD","Latin"
"1748","","Nicomedia","AE 2006, 1382","0-161 AD","Greek"
"1749","","Nicomedia","AE 2006, 1383","0-161 AD","Greek"
"1750","HD019646","Nicomedia","AE 1947, 186; TAM IV,1, 28","---","Latin"
"1751","HD020806","Nicomedia","AE 1977, 791","---","Latin"
"1752","HD020809","Nicomedia","AE 1977, 792","---","Latin"
"1753","","Nicomedia","AE 1989, 673","---","Greek"
"1754","PH279761","Nicomedia","IstForsch 14, 116, 141","---","Greek"
"1755","PH279782","Nicomedia","SEG 28: 1040","---","Greek"
"1756","PH279783","Nicomedia","SEG 28: 1041","---","Greek"
"1757","PH279784","Nicomedia","SEG 28: 1042","---","Greek"
"1758","HD036197","Nicomedia","SEG 29: 1348","---","Gr/Lat"
"1759","PH279791","Nicomedia","SEG 29: 1348","---","Gr/Lat"
"1760","PH279792","Nicomedia","SEG 29: 1349","---","Greek"
"1761","PH279793","Nicomedia","SEG 29: 1350","---","Greek"
"1762","PH279794","Nicomedia","SEG 29:1351","---","Greek"
"1763","PH279795","Nicomedia","SEG 29: 1352","---","Greek"
"1764","PH279805","Nicomedia","SEG 30: 1437","---","Greek"
"1765","PH279806","Nicomedia","SEG 30: 1446","---","Greek"
"1766","PH279807","Nicomedia","SEG 30: 1447","---","Greek"
"1767","PH279811","Nicomedia","SEG 32: 1256","---","Greek"
"1768","PH279812","Nicomedia","SEG 32: 1257","---","Greek"
"1769","PH279813","Nicomedia","SEG 32: 1258","---","Greek"
"1770","PH279822","Nicomedia","SEG 34: 1266","---","Greek"
"1771","PH279825","Nicomedia","SEG 35: 1304","---","Greek"
"1772","PH279902","Nicomedia","SEG 37: 1074","---","Greek"
"1773","PH279903","Nicomedia","SEG 37: 1075","---","Greek"
"1774","PH279904","Nicomedia","SEG 37: 1076","---","Greek"
"1775","PH279905","Nicomedia","SEG 37: 1077","---","Greek"
"1776","PH279907","Nicomedia","SEG 37: 1079","---","Greek"
"1777","PH279908","Nicomedia","SEG 37: 1080","---","Greek"
"1778","PH279915","Nicomedia","SEG 38: 1276","---","Greek"
"1779","PH279920","Nicomedia","SEG 40: 1145","---","Greek"
"1780","PH279771","Nicomedia","TravMem 10, 432, 53","---","Greek"
"1781","PH278921","Nicomedia","TAM IV,1, 100","---","Greek"
"1782","PH278922","Nicomedia","TAM IV,1, 101","---","Greek"
"1783","PH278923","Nicomedia","TAM IV,1, 102","---","Greek"
"1784","PH278924","Nicomedia","TAM IV,1, 103","---","Greek"
"1785","PH278925","Nicomedia","TAM IV,1, 104","---","Greek"
"1786","PH278926","Nicomedia","TAM IV,1, 105","---","Greek"
"1787","PH278927","Nicomedia","TAM IV,1, 106","---","Greek"
"1788","PH278928","Nicomedia","TAM IV,1, 107","---","Greek"
"1789","PH278929","Nicomedia","TAM IV,1, 108","---","Greek"
"1790","PH278930","Nicomedia","TAM IV,1, 109","---","Greek"
"1791","PH278931","Nicomedia","TAM IV,1, 110","---","Greek"
"1792","PH278932","Nicomedia","TAM IV,1, 111","---","Greek"
"1793","PH278933","Nicomedia","TAM IV,1, 112","---","Greek"
"1794","PH278934","Nicomedia","TAM IV,1, 113","---","Greek"
"1795","PH278935","Nicomedia","TAM IV,1, 114","---","Greek"
"1796","PH278936","Nicomedia","TAM IV,1, 115","---","Greek"
"1797","PH278937","Nicomedia","TAM IV,1, 116","---","Greek"
"1798","PH278938","Nicomedia","TAM IV,1, 117","---","Greek"
"1799","PH278939","Nicomedia","TAM IV,1, 118","---","Latin"
"1800","PH278940","Nicomedia","TAM IV,1, 119","---","Greek"
"1801","PH278941","Nicomedia","TAM IV,1, 120","---","Greek"
"1802","PH278942","Nicomedia","TAM IV,1, 121","---","Greek"
"1803","PH278943","Nicomedia","TAM IV,1, 122","---","Greek"
"1804","PH278945","Nicomedia","TAM IV,1, 124","---","Greek"
"1805","PH278946","Nicomedia","TAM IV,1, 125","---","Greek"
"1806","PH278947","Nicomedia","TAM IV,1, 126","---","Greek"
"1807","PH278948","Nicomedia","TAM IV,1, 127","---","Greek"
"1808","PH278949","Nicomedia","TAM IV,1, 128","---","Greek"
"1809","PH278950","Nicomedia","TAM IV,1, 129","---","Greek"
"1810","PH278951","Nicomedia","TAM IV,1, 130","---","Greek"
"1811","PH278952","Nicomedia","TAM IV,1, 131","---","Greek"
"1812","PH278954","Nicomedia","TAM IV,1, 133","---","Greek"
"1813","PH278955","Nicomedia","TAM IV,1, 134","---","Greek"
"1814","PH278956","Nicomedia","TAM IV,1, 135","---","Greek"
"1815","PH278957","Nicomedia","TAM IV,1, 136","---","Greek"
"1816","PH278958","Nicomedia","TAM IV,1, 137","---","Latin"
"1817","PH278959","Nicomedia","TAM IV,1, 138","---","Greek"
"1818","PH278960","Nicomedia","TAM IV,1, 139","---","Greek"
"1819","PH278961","Nicomedia","TAM IV,1, 140","---","Greek"
"1820","PH278962","Nicomedia","TAM IV,1, 141","---","Greek"
"1821","PH278963","Nicomedia","TAM IV,1, 142","---","Greek"
"1822","PH278964","Nicomedia","TAM IV,1, 143","---","Greek"
"1823","PH278965","Nicomedia","TAM IV,1, 144","---","Greek"
"1824","PH278966","Nicomedia","TAM IV,1, 145","---","Greek"
"1825","PH278967","Nicomedia","TAM IV,1, 146","---","Greek"
"1826","PH278968","Nicomedia","TAM IV,1, 147","---","Latin"
"1827","PH278969","Nicomedia","TAM IV,1, 148","---","Greek"
"1828","PH278970","Nicomedia","TAM IV,1, 149","---","Greek"
